Category,Food,Amount
protein,milk,22.758620689655174
protein,milk,22.000000000000004
protein,milk,15.813953488372094
protein,milk,21.29032258064516
protein,milk,11.604095563139932
protein,milk,9.565217391304348
protein,milk,16.425120772946862
protein,milk,16.5
protein,milk,8.461538461538462
protein,milk,15.637860082304524
protein,milk,13.750000000000002
protein,milk,14.782608695652176
protein,milk,16.666666666666668
protein,milk,11.604095563139932
protein,milk,17.948717948717952
protein,milk,8.461538461538462
protein,milk,8.717948717948719
protein,milk,10.0
protein,milk,17.67676767676768
protein,milk,8.651399491094148
protein,milk,10.32258064516129
protein,milk,12.692307692307692
protein,milk,10.0
protein,milk,9.565217391304348
protein,milk,11.874999999999998
protein,milk,11.409395973154364
protein,milk,10.476190476190478
protein,milk,8.461538461538462
protein,milk,11.447811447811448
protein,milk,16.666666666666668
protein,milk,20.625
protein,milk,9.705882352941178
protein,milk,12.000000000000002
protein,milk,12.666666666666666
protein,milk,9.748427672955975
protein,egg,10.990990990990989
protein,egg,9.682539682539682
protein,egg,9.53125
protein,egg,6.444444444444444
protein,egg,10.0
protein,chicken,20.272727272727273
protein,chicken,15.379310344827587
protein,chicken,10.05
protein,chicken,13.4
protein,chicken,12.615384615384613
protein,chicken,14.666666666666668
protein,chicken,11.024135681669929
protein,chicken,27.38461538461539
protein,chicken,10.76470588235294
protein,chicken,6.184364060676779
protein,chicken,16.1
protein,chicken,23.428571428571427
protein,chicken,10.238095238095237
protein,chicken,15.299999999999999
protein,chicken,8.375
protein,chicken,7.923112986404126
protein,chicken,9.343263371699392
protein,chicken,12.620689655172415
protein,chicken,10.307692307692308
protein,chicken,36.66666666666667
protein,beef,9.652173913043478
protein,beef,9.25
protein,beef,4.875
protein,beef,8.40108401084011
protein,beef,7.649043869516309
protein,beef,7.038461538461538
protein,beef,6.607142857142858
protein,pork,16.0
protein,pork,18.000000000000004
protein,pork,9.863636363636365
protein,pork,5.46875
protein,pork,18.0
protein,pork,7.040000000000001
protein,pork,6.2333333333333325
protein,pork,4.65
protein,pork,9.494001043296818
protein,pork,8.0
protein,pork,6.944444444444444
protein,pork,7.7
protein,pork,7.056638811513464
protein,pork,14.692307692307692
protein,pork,10.437499999999998
protein,pork,6.142857142857142
protein,pork,12.538461538461538
protein,pork,4.05
protein,pork,10.12121212121212
protein,pork,11.615384615384615
protein,pork,8.58695652173913
