Category,Food,Amount
protein,milk,24.13793103448276
protein,milk,9.111111111111109
protein,milk,1.3333333333333333
protein,milk,23.333333333333336
protein,milk,20.625
protein,milk,24.82758620689656
protein,milk,24.000000000000004
protein,milk,21.935483870967744
protein,milk,20.749999999999996
protein,milk,9.565217391304348
protein,milk,20.625
protein,milk,17.368421052631582
protein,milk,15.0
protein,milk,21.935483870967744
protein,milk,16.20253164556962
protein,milk,11.590909090909092
protein,milk,17.368421052631582
protein,milk,17.142857142857142
protein,milk,9.565217391304348
protein,milk,2.0689655172413794
protein,milk,23.225806451612904
protein,milk,8.461538461538462
protein,milk,14.545454545454545
protein,milk,18.947368421052637
protein,milk,8.461538461538462
protein,milk,10.0
protein,milk,1.8181818181818183
protein,milk,15.670103092783505
protein,milk,10.64516129032258
protein,milk,10.0
protein,milk,8.717948717948719
protein,milk,11.590909090909092
protein,milk,2.0689655172413794
protein,milk,15.0
protein,milk,10.32258064516129
protein,milk,14.712643678160921
protein,milk,10.0
protein,milk,8.717948717948719
protein,milk,14.042553191489361
protein,milk,16.190476190476193
protein,milk,16.32
protein,milk,8.461538461538462
protein,milk,16.551724137931036
protein,milk,11.874999999999998
protein,milk,2.8571428571428577
protein,milk,2.121212121212121
protein,milk,2.8000000000000003
