Category,Food,Amount
protein,milk,14.20147600266329
protein,egg,13.308949659430148
protein,chicken,14.835592576252541
protein,beef,10.595454545454547
protein,pork,9.792955043859651
protein,sardine,13.749929929663228
protein,bean,20.15752765752766
protein,almond,9.892009330445799
protein,chia,7.818245886937229
carb,rice,155.41822497644415
carb,wholewheat-bread,98.42857142857143
carb,oat,51.90972222222223
carb,potato,29.782675438596495
carb,quinoa,75.4698366149979
carb,pasta,283.5879472693032
carb,corn,17.057251891401435
fat,avocado,6.056201550387596
fat,olive-oil,47.6974463858337
fat,peanut-butter,38.72270950640504
fat,greek-yoghurt,12.497172539908085
fat,cheese,20.31102513684121
fat,salmon,2.3024126473156366
fat,tuna,2.9526917626150047
fat,sardine,6.700816840975944
fat,almond,26.02516476319476
fruit,berry,38.00537641832526
fruit,banana,85.07777269459511
fruit,apple,204.0816326530612
fruit,orange,291.1577784577909
fruit,grape,45.28326745718051
fruit,pear,287.5666302567594
fruit,kiwi,111.75115207373274
fruit,lemon,128.22913151928566
vegetable,spinach,49.66587687048534
vegetable,cabbage,
vegetable,lettuce,71.24946876328092
vegetable,brocolli,138.30254973645972
vegetable,cauliflower,140.93900709140254
vegetable,tomato,66.17739801964399
vegetable,carrot,216.65490701203976
vegetable,capsicum,68.80653462258266
vegetable,zucchini,109.5962887184516
vegetable,mushroom,58.64007224130735
